"Map","ID","Username","Date","Time","Quote","Hero","Game","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute","Map.Type"
"Blizzard World",958,"jay",2024-06-25,09:45:00,"""i hate this game""","Ana","Overwatch","Talon Operative","Vixx","QP unclear if previous Jay Rose Gold Mercy Silhouette icon Kiriko - Tier 3 namecard ",2024,"Jun","Tue",9,"45","Hybrid"
"Blizzard World",592,"Ojxdidxit",2023-12-31,13:27:00,"N/A","Wrecking Ball","Overwatch","N/A","Seb","Queue DM Echoversary icon Endorsement 2 private profile, 2nd 2024-08-08 Château Guillard",2023,"Dec","Sun",13,"27","Hybrid"
"Blizzard World",100,"JMRD",2023-02-26,15:09:00,NA,"N/A","Overwatch","None","Richard","refused to talk to me",2023,"Feb","Sun",15,"09","Hybrid"
"Blizzard World",182,"JJ69",2023-05-18,16:30:00,"""i gotta go""","N/A","Overwatch","Extraterrestrial","Richard","support blizzard world Extraterrestrial",2023,"May","Thu",16,"30","Hybrid"
"Blizzard World",181,"kj3400",2023-05-18,16:30:00,"""I don't know this guy""","N/A","Overwatch","N/A","Richard","dps blizzard world",2023,"May","Thu",16,"30","Hybrid"
"Blizzard World",478,"JPECHA",2023-12-06,06:01:00,"""merry christmas""","Hanzo","Overwatch","N/A","Seb","Deathmatch blizz world",2023,"Dec","Wed",6,"01","Hybrid"
"Blizzard World",157,"StarJ",2023-05-05,15:07:00,"""hello rustynumbnut"" ""is this a J thing""","N/A","Overwatch","Platinum Role Challenger","Richard","Blizzard world lootbox icon",2023,"May","Fri",15,"07","Hybrid"
"Blizzard World",691,"ELKAGUAMASJR",2024-01-31,12:28:00,"N/A","Junkrat","Overwatch","Behemoth","Seb","QP Grand Beast icon Endorsement 5 Woodland Beast namecard plat 1 Combined silver 2 Tank gold 5 Damage gold 4 Support, 2nd sighting 2024-02-07",2024,"Jan","Wed",12,"28","Hybrid"
"Blizzard World",624,"blaahdjslh",2024-01-10,06:19:00,"""step 1: dont""","Wrecking Ball","Overwatch","Neogun","Seb","I asked them how to say their name but they didn't tell me so who knows if they're actually a Jay or not",2024,"Jan","Wed",6,"19","Hybrid"
"Blizzard World",96,"AuthorJMN",2023-02-17,16:57:00,"""Happy Friday peeps! if anyone likes to read fantasy books check out Jay Michael Night :)""","Torbjorn","Overwatch","Philosopher","Richard"," ",2023,"Feb","Fri",16,"57","Hybrid"
"Busan",10,"JAYTHETRYHARD",2022-09-23,16:20:00,NA,"DVA","Overwatch","N/A","verdantJay","69% Kill Participation on DVA, ate grav, absolute chad.",2022,"Sep","Fri",16,"20","Control"
"Busan",507,"JaeDoomsday",2023-12-14,05:03:00,"""egheheh"" ""me""","Rammatra","Overwatch","Philosopher","Seb","Custom game, busan, philosopher, 2nd sighting 2023-12-28",2023,"Dec","Thu",5,"03","Control"
"Busan",385,"NCTJAEHYUN",2023-11-15,10:34:00,"""maybe""","Echo","Overwatch","None","Seb","Skirmish, Busan",2023,"Nov","Wed",10,"34","Control"
"Busan",429,"JKPOP",2023-11-23,07:30:00,"""pharmercy forever""","Pharah","Overwatch","Stalwart Hero","Seb","Stalwart hero, busan, pharah",2023,"Nov","Thu",7,"30","Control"
"Busan",440,"ORJJ",2023-11-25,18:56:00,NA,"N/A","Overwatch","Officer","Asheya","Officer, canada profile, busan, support, comp",2023,"Nov","Sat",18,"56","Control"
"Busan",843,"DJDWEED",2024-04-20,06:30:00,"N/A","Widowmaker","Overwatch","Vigilante","Seb","Queue Skirmish 76 icon Endorsement 5 Soldier 76 - Tier 3 namecard Soldier main",2024,"Apr","Sat",6,"30","Control"
"Busan",745,"JSMOMMA",2024-02-24,20:08:00,"""AND I HAVE TISM. L"" ","Reinhardt","Overwatch","N/A","Richard","SPELLING UNCONFIRMED Comp",2024,"Feb","Sat",20,"08","Control"
"Castillo",656,"JQSLOVER",2024-01-17,04:30:00,"""enough to buy her body pillow""","Junker Queen","Overwatch","Null Titan","Seb","Junker variant Chill Custom Huntress icon Endorsement 4 Lesbian Pride namecard private profile",2024,"Jan","Wed",4,"30","Other"
"Château Guillard",467,"LORDBJ",2023-12-05,12:52:00,"""on your knees peon""","N/A","Overwatch","N/A","Seb","Deathmatch",2023,"Dec","Tue",12,"52","Other"
"Château Guillard",786,"DynamicJC",2024-03-18,12:38:00,"N/A","Illari","Overwatch","N/A","Seb","Queue DM Lúciouro icon Endorsement 2 Lúcio main",2024,"Mar","Mon",12,"38","Other"
"Château Guillard",586,"Jbulloa",2023-12-30,20:17:00,"N/A","Soldier: 76","Overwatch","N/A","Seb","Queue DM Bonesplinter icon Endorsement 1 Grand Remains namecard private profile",2023,"Dec","Sat",20,"17","Other"
"Château Guillard",606,"PhantomJ",2024-01-04,12:01:00,"N/A","Moira","Overwatch","N/A","Seb","Queue DM",2024,"Jan","Thu",12,"01","Other"
"Château Guillard",903,"ellerynj",2024-06-03,17:24:00,"N/A","Ana","Overwatch","Star Pilot","Seb","Queue DM Buccaneer icon Endorsement 5 Faye Valentine namecard gold 3 Support Mercy main",2024,"Jun","Mon",17,"24","Other"
"Château Guillard",593,"ToastyJ",2023-12-31,13:49:00,"N/A","Lúcio","Overwatch","Treasure Goblin","Seb","Queue DM Halloween 2021 Pachi icon Endorsement 5 Onryō's Pets namecard gold 4 tank gold 3 support",2023,"Dec","Sun",13,"49","Other"
"Château Guillard",1134,"jayalab0ss",2024-09-15,10:25:00,"""Do I know you?""","Torbjorn","Overwatch","None","Richard","Deathmatch, private profile, cat pfp.",2024,"Sep","Sun",10,"25","Other"
"Château Guillard",1055,"Jay",2024-08-14,17:30:00,"N/A","Tracer","Overwatch","Assassin","Seb","Silent Jay Queue DM Goldborg icon Endorsement 3 Genji - Tier 3 namecard private profile",2024,"Aug","Wed",17,"30","Other"
"Château Guillard",614,"ajdrawsnice",2024-01-05,12:45:00,"""yeah i do same as here""","Hanzo","Overwatch","Assassin","Seb","https://www.patreon.com/ajdrawsnice (it's furry ecchi) Queue DM Black Lily icon Endorsement 4 Harlequin namecard private profile",2024,"Jan","Fri",12,"45","Other"
"Château Guillard",481,"MRJ",2023-12-07,08:20:00,"""IM TRAPPED IN A JOB I DONT CARE FOR"" ","Ana","Overwatch","N/A","Seb","Deathmatch Chateau Guillard",2023,"Dec","Thu",8,"20","Other"
"Château Guillard",618,"Jayfrom60",2024-01-09,08:23:00,"N/A","Sojourn","Overwatch","Demigod","Seb","",2024,"Jan","Tue",8,"23","Other"
"Château Guillard",562,"JHM4N",2023-12-26,08:10:00,"N/A","Widowmaker","Overwatch","N/A","Seb","",2023,"Dec","Tue",8,"10","Other"
"Château Guillard",1159,"mjman3372",2024-09-19,15:26:00,"""huh""","Hanzo","Overwatch","City Razer","Richard","Lvl 5 endorsement private profile",2024,"Sep","Thu",15,"26","Other"
"Château Guillard",902,"JWM",2024-06-03,17:21:00,"""It's my nam Name""","Tracer","Overwatch","Hero of the Light","Seb","Queue DM Crusader icon Blessed Mother namecard private profile",2024,"Jun","Mon",17,"21","Other"
"Château Guillard",434,"LEEEEJKIIIII",2023-11-24,05:06:00,"""leeeeeeeee""","Widowmaker","Overwatch","N/A","Seb","Deathmatch widowmap",2023,"Nov","Fri",5,"06","Other"
"Château Guillard",421,"PJXDRAGON",2023-11-22,07:52:00,"""i fuck dragons""","Doomfist","Overwatch","N/A","Seb","Deathmatch widowmaker map",2023,"Nov","Wed",7,"52","Other"
"Château Guillard",443,"Jay",2023-11-25,06:29:00,"""its pointless""","Widowmaker","Overwatch","N/A","Seb","Deathmatch, widow, logging out of spite.",2023,"Nov","Sat",6,"29","Other"
"Château Guillard",901,"jayhac",2024-06-03,16:57:00,"N/A","Tracer","Overwatch","Stalwart Hero","Seb","Queue DM Vengeance icon Endorsement 2 Northern Dreams namecard private profile",2024,"Jun","Mon",16,"57","Other"
"Château Guillard",379,"JAELOL06",2023-11-13,13:32:00,NA,"N/A","Overwatch","N/A","Seb","Deathmatch Chateau Guillard",2023,"Nov","Mon",13,"32","Other"
"Château Guillard",496,"JJBSTAWBERY",2023-12-12,11:31:00,NA,"Tracer","Overwatch","N/A","Seb","Deathmatch Chateau Guillard",2023,"Dec","Tue",11,"31","Other"
"Château Guillard",475,"JGM0722",2023-12-06,04:19:00,"""WRITE THE NAME OF YOUR FAVORITE TEACHER""","Echo","Overwatch","N/A","Seb","Deathmatch Chateau Guillard",2023,"Dec","Wed",4,"19","Other"
"Château Guillard",537,"AgentJ",2023-12-19,12:14:00,"""mofongo chicken filled"" ""some like it with fried pork filled or simply shrimp like guy fieri""","Widowmaker","Overwatch","Mercy's Angel","Seb","",2023,"Dec","Tue",12,"14","Other"
"Château Guillard",516,"HPJ",2023-12-15,10:55:00,"""HOI""","Tracer","Overwatch","N/A","Seb","Deathmatch chateau Guillard",2023,"Dec","Fri",10,"55","Other"
"Château Guillard",488,"CYBERJX7",2023-12-10,15:06:00,"""I MISS JEFF""","N/A","Overwatch","N/A","Seb","Deathmatch Chateau Guillard",2023,"Dec","Sun",15,"06","Other"
"Château Guillard",1160,"jjgb007",2024-09-19,15:28:00,"N/A","Lifeweaver","Overwatch","Assassin","Richard","Lvl 4 endorsement, private profile",2024,"Sep","Thu",15,"28","Other"
"Château Guillard",1171,"AlohaJae",2024-09-22,16:46:00,"""uh for what""","Widowmaker","Overwatch","None","Despair","Deathmatch",2024,"Sep","Sun",16,"46","Other"
"Château Guillard",500,"NINJ",2023-12-13,07:02:00,"""i have an exam in three hours""","Kiriko","Overwatch","N/A","Seb","deathmatch chateau Guillard",2023,"Dec","Wed",7,"02","Other"
"Circuit Royal",205,"PBJ87472",2023-06-06,17:28:00,NA,"N/A","Overwatch","Platinum Challenger","Vixx","Circuit Royal",2023,"Jun","Tue",17,"28","Payload"
"Circuit Royal",716,"JaykeTheFox",2024-02-07,09:44:00,"N/A","Cassidy","Overwatch","Paladin","Seb","Nested Jay Queue Skirmish Puhyu icon Endorsement 5 Blessed Mother namecard private profile",2024,"Feb","Wed",9,"44","Payload"
"Circuit Royal",612,"JZBtuber",2024-01-05,08:06:00,"""No why?""","Hanzo","Overwatch","N/A","Seb","Not a YouTuber Queue Skirmish Sojourn icon Endorsement 3 private profile",2024,"Jan","Fri",8,"06","Payload"
"Circuit Royal",203,"VYNJJ",2023-06-04,18:34:00,NA,"N/A","Overwatch","Scholar","Vixx","Circuit Royal",2023,"Jun","Sun",18,"34","Payload"
"Circuit Royal",830,"JAYSUAVE6",2024-04-11,08:47:00,"N/A","Cassidy","Overwatch","Neogun","Vixx","SPELLING UNCONFIRMED Halloween Terror 2021 icon Synthwave namecard",2024,"Apr","Thu",8,"47","Payload"
"Circuit Royal",589,"Spdjl",2023-12-31,12:30:00,"N/A","Sombra","Overwatch","N/A","Seb","Queue DM 2nd 2024-01-10",2023,"Dec","Sun",12,"30","Payload"
"Circuit Royal",336,"JAYLENALWAYS",2023-10-22,17:30:00,NA,"Tracer","Overwatch","Cupid's Arrow","Richard","Circuit royale, Cupid's arrow, lvl 3 endorsement, baptiste",2023,"Oct","Sun",17,"30","Payload"
"Circuit Royal",626,"FJbuffalo21",2024-01-10,07:00:00,"N/A","N/A","Overwatch","Nomad","Seb","Queue DM ",2024,"Jan","Wed",7,"00","Payload"
"Circuit Royal",291,"JJstark",2023-09-30,07:41:00,NA,"Rammatra","Overwatch","Netbreaker","Seb","Netbreaker, 2nd 20240919",2023,"Sep","Sat",7,"41","Payload"
"Circuit Royal",667,"JLHeinous",2024-01-20,12:19:00,"""gg""","Ana","Overwatch","Nocturnal Creature","Richard","2nd spotting 2024-01-28, 3rd spotting 2024-02-07",2024,"Jan","Sat",12,"19","Payload"
"Circuit Royal",675,"JDawgg",2024-01-26,05:37:00,"""what a wuss"" ""report me for shooting you gg""","Sombra","Overwatch","Prime Evil","Seb","QP Dark Wanderer icon Endorsement 3 private profile",2024,"Jan","Fri",5,"37","Payload"
"Circuit Royal",487,"JAY",2023-12-10,18:37:00,"N/A","Ana","Overwatch","Prime Evil","Basileus","",2023,"Dec","Sun",18,"37","Payload"
"Circuit Royal",857,"vNotCJ",2024-04-29,18:02:00,"N/A","Bastion","Overwatch","Barbarian","Seb","Chill Kill Custom Goldbot icon Endorsement 1 Mumen Rider - Soldier: 76 namecard private profile",2024,"Apr","Mon",18,"02","Payload"
"Circuit Royal",527,"Pamijay",2023-12-17,16:27:00,"""do not allow the iron cage of rationality become the jailer of possibility"" ""let me cook"" ""what the fuck""","Illari","Overwatch","N/A","Richard","2nd 2024-08-26 Busan, 3rd 2024-08-26 Throne of Anubis",2023,"Dec","Sun",16,"27","Payload"
"Circuit Royal",340,"snowjay",2023-10-25,17:47:00,"""LOST is the best show of all time""","Widowmaker","Overwatch","N/A","Richard","Circuit Royal, 2nd 2023-12-14",2023,"Oct","Wed",17,"47","Payload"
"Circuit Royal",265,"BasquiasTJ",2023-09-15,13:05:00,NA,"Genji","Overwatch","N/A","Vixx","was on genji and smoked me but he left bc his team sucked",2023,"Sep","Fri",13,"05","Payload"
"Circuit Royal",250,"JC917",2023-08-20,13:09:00,NA,"N/A","Overwatch","Peasant","Richard","Circuit Royal, Peasant",2023,"Aug","Sun",13,"09","Payload"
"Circuit Royal",514,"MORODOJ",2023-12-15,10:11:00,NA,"Orisa","Overwatch","None","Seb","Circuit royal, orisa, no name tag",2023,"Dec","Fri",10,"11","Payload"
"Circuit Royal",119,"JTC719",2023-03-20,11:26:00,"""gg""","Sigma","Overwatch","Master Challenger","Richard","Sigma circuit royale",2023,"Mar","Mon",11,"26","Payload"
"Circuit Royal",791,"thatdudejp",2024-03-20,14:39:00,"""that""","Bastion, Wrecking Ball, Winston","Overwatch","N/A","Seb","MH Yache Fighting icon Endorsement 3 Celestial namecard private profile",2024,"Mar","Wed",14,"39","Payload"
"Circuit Royal",150,"JVellex",2023-04-23,17:54:00,NA,"N/A","Overwatch","Disciple","Richard","Circuit Royale",2023,"Apr","Sun",17,"54","Payload"
"Circuit Royal",665,"CLJM",2024-01-19,15:12:00,"N/A","Reinhardt","Overwatch","N/A","Josiad","Diving icon Endorsement 1 Great Waves namecard private profile",2024,"Jan","Fri",15,"12","Payload"
"Circuit Royal",140,"JAE",2023-04-08,18:12:00,NA,"N/A","Overwatch","N/A","Richard","Circuit Royale, toxic af",2023,"Apr","Sat",18,"12","Payload"
"Circuit Royal",209,"JWhat",2023-06-11,17:33:00,NA,"Ana","Overwatch","World Eater","Vixx","World Eater ana god",2023,"Jun","Sun",17,"33","Payload"
"Circuit Royal",531,"jmoist",2023-12-18,16:36:00,"""show?"" ""i'm not a guy i'm a girl"" ""miraculous ladybug and cat noir and property brothers""","D.Va","Overwatch","N/A","Seb","",2023,"Dec","Mon",16,"36","Payload"
"Colosseo",94,"JAYJAY",2023-02-17,15:16:00,NA,"Bastion","Overwatch","Cyberdemon","Vixx","",2023,"Feb","Fri",15,"16","Push"
"Colosseo",818,"jp5jp",2024-04-02,18:30:00,"N/A","Ana, Widowmaker, Mercy, Mei, Zarya","Overwatch","N/A","Seb","MH ramen icon Endorsement 3 private profile",2024,"Apr","Tue",18,"30","Push"
"Colosseo",1177,"santosjpeg",2024-09-25,16:25:00,"N/A","D.VA","Overwatch","N/A","Richard","Skirmish",2024,"Sep","Wed",16,"25","Push"
"Colosseo",175,"StephyJ",2023-05-15,15:11:00,"""what daddy"" ""wtf do you want today huh a quick sucky""","N/A","Overwatch","Trickster","Richard","Colesseo",2023,"May","Mon",15,"11","Push"
"Colosseo",95,"DETECTIVECJ",2023-02-17,15:16:00,NA,"Symmetra","Overwatch","Martial","Vixx","",2023,"Feb","Fri",15,"16","Push"
"Colosseo",956,"JeezArjay",2024-06-24,14:31:00,"""gg""","Moira","Overwatch","Neogun","Vixx","QP Overwatch Dark icon",2024,"Jun","Mon",14,"31","Push"
"Colosseo",600,"RareFormJ",2024-01-02,09:55:00,"N/A","Sombra, Sojourn, Ashe, Soldier: 76","Overwatch","Neogun","Seb","RARE JAY QP Zenyatta Silhouette icon Endorsement 3 Amaterasu namecard plat 1 tank damage master 5 support",2024,"Jan","Tue",9,"55","Push"
"Colosseo",585,"Onejx",2023-12-30,20:04:00,"N/A","N/A","Overwatch","N/A","Seb","Queue DM Overwatch Dark icon Endorsement 3 private profile",2023,"Dec","Sat",20,"04","Push"
"Colosseo",319,"KARMAKILLSJT",2023-10-14,13:37:00,NA,"N/A","Overwatch","Assassin","Richard","Assassin, colesseo",2023,"Oct","Sat",13,"37","Push"
"Colosseo",887,"harrisj16",2024-05-23,18:12:00,"N/A","Lifeweaver","Overwatch","Nocturnal Creature","Seb","Same match as JJigs Skullcap icon Endorsement 5 Cosmic Skyline namecard diamond 3 Support Moira main",2024,"May","Thu",18,"12","Push"
"Colosseo",412,"JXRDYYY",2023-11-21,13:37:00,"""why do you have that copy and pasted""","N/A","Overwatch","None","Richard","No name tag, support, Colosseo",2023,"Nov","Tue",13,"37","Push"
"Colosseo",750,"JFaets",2024-02-27,06:36:00,"N/A","Hanzo, Echo","Overwatch","Nomad","Seb","QP Dreidel icon Endorsement 4 Celestial namecard private profile, 2nd sighting 2024-03-03 Ilios",2024,"Feb","Tue",6,"36","Push"
"Colosseo",92,"Double0J",2023-01-31,18:48:00,NA,"N/A","Overwatch","N/A","Richard","",2023,"Jan","Tue",18,"48","Push"
"Colosseo",1039,"jmpword",2024-08-10,03:46:00,"""nothing lol i thought it sounded not bad"" ""glhf gg]""","Mora","Overwatch","Chaos Bringer","Seb","QP Halloween Terror 2023 icon Endorsement 4 Lesbian Pride namecard private profile",2024,"Aug","Sat",3,"46","Push"
"Colosseo",299,"JAYSALOSER",2023-10-05,06:05:00,"""fucking hate orisa""","N/A","Overwatch","None","Seb","Colosseo, no name tag",2023,"Oct","Thu",6,"05","Push"
"Colosseo",384,"TBJ",2023-11-15,06:50:00,"""my initials""","D.VA","Overwatch","None","Seb","DVA, Colosseo, no nametag.",2023,"Nov","Wed",6,"50","Push"
