"ID","Username","Date","Time","Quote","Hero","Game","Map","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute"
647,"zJikoZ",2024-01-15,14:19:00,"""most people just say z- jikoz"" ""or u can just say jiko""","Ana, Kiriko","Overwatch","Route 66","Netbreaker","Josiad","ZJay variant? Lifeweaver icon Endorsement 3 Northern Dreams namecard private profile",2024,"Jan","Mon",14,"19"
648,"BLOODTHIRSTJ",2024-01-15,15:58:00,"N/A","Mauga","Overwatch","Petra","Titan","Josiad","Spelling unconfirmed Queue DM Tatau icon Endorsement 4 Longhorn namecard private profile",2024,"Jan","Mon",15,"58"
649,"CrackingJboy",2024-01-15,17:55:00,"""xbox gave me this gamertag 14 years ago and i refuse to change it""","Hanzo","Overwatch","Havana","Master of Minotaurs","verdantJay","",2024,"Jan","Mon",17,"55"
650,"JJWPanda",2024-01-16,07:46:00,"""YES"" ","Tracer","Overwatch","Kanezaka","Star Pilot","Seb","Real panda Jay Diving icon Endorsement 3 Triple Pachimari namecard plat 4 tank gold 3 gold 5 support",2024,"Jan","Tue",7,"46"
651,"JGVII5669",2024-01-16,09:20:00,"N/A","Junker Queen","Overwatch","Dorado ","N/A","Seb","Queue Skirmish Royal Emblem icon Endorsement 2 The Dead Hunger namecard",2024,"Jan","Tue",9,"20"
652,"YueJV",2024-01-16,15:11:00,"N/A","Junkrat, Sombra","Overwatch","Dorado ","Fearsome Spirit","Josiad","Cyberdemon icon Endorsement 4 Cerberus namecard private profile",2024,"Jan","Tue",15,"11"
653,"TJPierce",2024-01-16,17:08:00,"""ggs well played everyone <3""","Mercy","Overwatch","Blizzard World","Temptation","Seb","QP Nine Tails icon Endorsement 5 Jingle Belle namecard priavete profile, 2nd sighting 2024-04-09, 3rd 2024-06-22",2024,"Jan","Tue",17,"08"
654,"CJO",2024-01-16,17:17:00,"N/A","Ramattra, Brigitte","Overwatch","Workshop Chamber","N/A","Josiad","Custom ",2024,"Jan","Tue",17,"17"
655,"Jaybrid",2024-01-17,03:43:00,"""i'm more of a dinosaur guy""","Tracer","Overwatch","Malevento ","Temptation","Seb","Queue DM Echo icon Endorsement 5 Onryō's Pets namecard private profile",2024,"Jan","Wed",3,"43"
656,"JQSLOVER",2024-01-17,04:30:00,"""enough to buy her body pillow""","Junker Queen","Overwatch","Castillo","Null Titan","Seb","Junker variant Chill Custom Huntress icon Endorsement 4 Lesbian Pride namecard private profile",2024,"Jan","Wed",4,"30"
657,"BulletJM",2024-01-17,05:12:00,"N/A","Symmetra","Overwatch","Workshop Chamber","N/A","Seb","1 Dad 11 Kids Custom",2024,"Jan","Wed",5,"12"
658,"Jaeblood",2024-01-17,05:38:00,"""so thirsty lol :) haha"" ""gg""","Widowmaker, Soldier: 76, Torbjörn","Overwatch","Shambali Monastary","Slicer","Seb","MH Reaping General icon Endorsement 5 Broken Planet namecard",2024,"Jan","Wed",5,"38"
659,"BBJ",2024-01-17,05:50:00,"""just initials"" ""gg"" ""beanut butter n jelly"" ""gg""","Torbjörn","Overwatch","King's Row","Shapeshifter","Seb","MH nice Jay VC guy Golf icon Endorsement 5 Broken Planet namecard private profile, 2nd 2024-06-10",2024,"Jan","Wed",5,"50"
660,"Cjbrunosjet",2024-01-17,08:13:00,"N/A","Reaper","Overwatch","King's Row","Graverobber","Seb","Queue DM Eye icon Endorsement 3 Ravens namecard private profile",2024,"Jan","Wed",8,"13"
661,"JayBeast",2024-01-17,15:46:00,"N/A","Junkrat, Symmetra, Tracer","Overwatch","Samoa","N/A","Seb","Yache Fighting icon Endorsement 1 Mumen Rider - Soldier: 76 namecard private profile",2024,"Jan","Wed",15,"46"
662,"JWars43",2024-01-17,16:53:00,"""Manners maketh man""","N/A","Overwatch","Oasis","Philosopher","Josiad","Spectator Rammatra Silhouette icon Endorsement 2 Kabuki namecard Master 5 combined Master 4 damage GM5 support",2024,"Jan","Wed",16,"53"
663,"JF4",2024-01-17,17:39:00,"N/A","Kiriko","Overwatch","Paraíso","Peasant","Josiad","OWWC CHN icon Endorsement 2 OWWC CHN namecard private profile",2024,"Jan","Wed",17,"39"
664,"HMFJ",2024-01-19,08:25:00,"""youre built like roadhog""","Ashe, Junkrat","Overwatch","Watchpoint: Gibralter","Stalwart Hero","Seb","QP From Beyond the Moon icon Endorsement 1 private profile",2024,"Jan","Fri",8,"25"
665,"CLJM",2024-01-19,15:12:00,"N/A","Reinhardt","Overwatch","Circuit Royal","N/A","Josiad","Diving icon Endorsement 1 Great Waves namecard private profile",2024,"Jan","Fri",15,"12"
666,"JRMARTE",2024-01-19,15:51:00,"N/A","Winston, D.Va, Mauga","Overwatch","Route 66","Neogun","Josiad","Overwatch Dark Icon Endorsement 3 private profile",2024,"Jan","Fri",15,"51"
667,"JLHeinous",2024-01-20,12:19:00,"""gg""","Ana","Overwatch","Circuit Royal","Nocturnal Creature","Richard","2nd spotting 2024-01-28, 3rd spotting 2024-02-07",2024,"Jan","Sat",12,"19"
668,"abcJ",2024-01-20,15:02:00,"N/A","N/A","Paladins","N/A","The War Machine","Vixx","Game-dodger Jay",2024,"Jan","Sat",15,"02"
669,"Jrhode11",2024-01-20,15:11:00,"N/A","Seris","Paladins","Timber Mill","Scholar of House Aico","Vixx","Encountered 3 times in the same day",2024,"Jan","Sat",15,"11"
670,"Th3RealDJ",2024-01-23,08:13:00,"N/A","Genji","Overwatch","Kanezaka","Assassin","Seb","Queue DM Goldborg icon Endorsement 3 Broken Planet namecard Silver 3 damage Silver 4 support, 2nd sighting 2024-02-15",2024,"Jan","Tue",8,"13"
671,"vAjct",2024-01-23,16:45:00,"N/A","Fernando","Paladins","Bazaar","Has Seen Some Things","Vixx","Spotted in the same game as RealMasterJ",2024,"Jan","Tue",16,"45"
672,"RealMasterJ",2024-01-23,16:45:00,"""trash"" ""nerd"" ""talus garbage"" ""sad""","Salem Seris","Paladins","Bazaar","Overcame Their Inner Demons","Vixx","Spotted in the same game as vAjtc",2024,"Jan","Tue",16,"45"
673,"BigSonJray",2024-01-24,14:04:00,"N/A","Hellion Ash","Paladins","Timber Mill","Scholar of House Aico","Vixx","2nd 2024-08-06 Ascension Peak",2024,"Jan","Wed",14,"04"
674,"tjcashin",2024-01-25,09:49:00,"N/A","Doomfist","Overwatch","Petra","Daimon","Seb","Queue DM Season 3 Competitor icon Endorsement 2 Queen Cobra namecard private profile",2024,"Jan","Thu",9,"49"
675,"JDawgg",2024-01-26,05:37:00,"""what a wuss"" ""report me for shooting you gg""","Sombra","Overwatch","Circuit Royal","Prime Evil","Seb","QP Dark Wanderer icon Endorsement 3 private profile",2024,"Jan","Fri",5,"37"
676,"JJFlash",2024-01-26,06:32:00,"N/A","Rammatra","Overwatch","Workshop Island","Nomad","Seb","Gun Game custom Wreckimari icon Endorsement 3 Mitzi and Friends namecard private profile",2024,"Jan","Fri",6,"32"
677,"Jayyyyyyyy",2024-01-26,15:02:00,"N/A","Ashe","Overwatch","Numbani","N/A","Richard","Comp Shanghai Dragons icon Endorsement 1",2024,"Jan","Fri",15,"02"
678,"MarJN67",2024-01-26,16:55:00,"N/A","Golden Kinessa","Paladins","Marauder's Port","Shooting Star","Vixx","",2024,"Jan","Fri",16,"55"
679,"jst1s",2024-01-26,17:29:00,"N/A","Pumpking Bomb King","Paladins","Brighmarsh","Worships Cats","Vixx","",2024,"Jan","Fri",17,"29"
680,"JayxCray",2024-01-27,09:17:00,"N/A","Moira","Overwatch","Hollywood","Pack Animal","Seb","Queue Skirmish Halloween Terror 2023 icon Endorsement 5 Pansexual Pride namecard private profile",2024,"Jan","Sat",9,"17"
681,"Jking257131",2024-01-27,09:29:00,"""Yeah"" ""fuck this""","Echo","Overwatch","Rialto","N/A","Seb","MH real king Jay Clown icon Endorsement 3 private profile",2024,"Jan","Sat",9,"29"
682,"jlcolon98 ",2024-01-27,09:35:00,"N/A","Cassidy","Overwatch","Paris","N/A","Seb","Queue DM Year of the Tiger 2022 icon Endorsement 3 private profile",2024,"Jan","Sat",9,"35"
683,"RJT22",2024-01-27,16:58:00,"N/A","Crimson Queen Nyx","Paladins","Timber Mill","Mix Master","Vixx","",2024,"Jan","Sat",16,"58"
684,"BLUEJAY",2024-01-28,16:44:00,"N/A","Ana","Overwatch","Eichenwalde","N/A","Josiad","POSSIBLE RESIGHTING Infection Custom Watcher icon Endorsement 3 private profile",2024,"Jan","Sun",16,"44"
685,"JayC29",2024-01-29,10:43:00,"N/A","Reinhardt","Overwatch","Paris","Treasure Goblin","Seb","Chill Kill Custom ",2024,"Jan","Mon",10,"43"
686,"JCVSTEALTH",2024-01-29,13:41:00,"N/A","Doomfist","Overwatch","Paraíso","World Eater","Josiad","Jordan icon Endorsement 3 Arctic Beast namecard #256 Tank GM 3 Damage GM 4 Support",2024,"Jan","Mon",13,"41"
687,"J1SONF1Re",2024-01-30,08:47:00,"""sup?"" ""chillen merkin the fucckk out of these kids hbu"" ""how do i know you again""","Sombra","Overwatch","Hollywood","N/A","Seb","OWWC PHI icon Endorsement 2 Aquatic Beast namecard private profile",2024,"Jan","Tue",8,"47"
688,"JRocBabyX",2024-01-30,16:19:00,"N/A","Ellen Ripley","Fortnite","Plankerton","N/A","Seb","Retrieve the Data V-buck mission",2024,"Jan","Tue",16,"19"
689,"j444si",2024-01-31,07:42:00,"N/A","D.Va","Overwatch","Ilios","N/A","Seb","Academy icon Endorsement 1 Constellations namecard private profile",2024,"Jan","Wed",7,"42"
690,"AustinJ",2024-01-31,09:11:00,"""ouch""","Doomfist","Overwatch","Numbani","N/A","Seb","QP Reaper icon Endorsement 3 Aquatic Beast namecard gold 5 Combined Tank silver 1 Damage silver 2 Support",2024,"Jan","Wed",9,"11"
691,"ELKAGUAMASJR",2024-01-31,12:28:00,"N/A","Junkrat","Overwatch","Blizzard World","Behemoth","Seb","QP Grand Beast icon Endorsement 5 Woodland Beast namecard plat 1 Combined silver 2 Tank gold 5 Damage gold 4 Support, 2nd sighting 2024-02-07",2024,"Jan","Wed",12,"28"
692,"JayyPeace",2024-01-31,14:10:00,"N/A","Bossfight Koga","Paladins","Bazaar","You've No Doubt Heard of Me","Vixx","",2024,"Jan","Wed",14,"10"
693,"Jaybeezy",2024-01-31,16:13:00,"N/A","Mercy","Overwatch","Watchpoint: Antarctica","Conqueror","Seb","Chill Kill Custom Cute Mercy icon Endorsement 4 Mitzi and Friends namecard private profile",2024,"Jan","Wed",16,"13"
694,"kyliejay",2024-01-31,16:50:00,"N/A","Mercy","Overwatch","Petra","Rebel","Seb","Queue DM Deadlocke Ashe icon Endorsement 4 Mitzi and Friends namecard private profile, 2nd sighting 2024-02-06",2024,"Jan","Wed",16,"50"
695,"Jaybrid",2024-01-31,16:50:00,"N/A","N/A","Overwatch","Petra","Aerial Hunter","Seb","Queue DM Echo icon Endorsement 5 Onryō's Pets namecard private profile",2024,"Jan","Wed",16,"50"
696,"jDelay",2024-01-31,16:51:00,"""yeah nice turnaround""","Echo, Reinhardt, Mercy, Symmetra","Overwatch","Dorado ","Easy Prey","Seb","MH Kiriko icon Endorsement 5 ANTIFRAGILE Kira-Kira namecard",2024,"Jan","Wed",16,"51"
697,"JA550",2024-01-31,17:37:00,"N/A","N/A","Overwatch","Petra","N/A","Seb","Queue DM Puhyu icon Endorsement 3 Orisa - Tier 1 namecard private profile",2024,"Jan","Wed",17,"37"
698,"ChiefJayD",2024-01-31,17:41:00,"N/A","Lúcio","Overwatch","Paraíso","Medic","Seb","QP backfill no profile",2024,"Jan","Wed",17,"41"
699,"JaeRockz",2024-02-01,18:06:00,"""love those thigns""","Junkrat, Reaper","Overwatch","New Junk City","Stalwart Hero","Seb","Rock enjoyer Jae no profile",2024,"Feb","Thu",18,"06"
700,"tcolokoj952",2024-02-01,13:02:00,"N/A","Stone-Cut Barik","Paladins","Ice Mines","Ruler of the Sandcastle","Vixx","2nd sighting 2024-02-01",2024,"Feb","Thu",13,"02"
701,"pjdrizzme",2024-02-02,15:57:00,"N/A","Cosmic Barik","Paladins","Warder's Gate","You've No Doubt Heard of Me","Vixx","",2024,"Feb","Fri",15,"57"
702,"Jmfnasty33",2024-02-03,15:48:00,"N/A","Ash","Paladins","Shattered Desert","Is In Disguise","Vixx","Spotted in same game as Jccoffe",2024,"Feb","Sat",15,"48"
703,"Jccoffe",2024-02-03,15:48:00,"N/A","FN-01 Helios Fernando","Paladins","Shattered Desert","Cries Over Spilt Milk","Vixx","Spotted in same game as Jmfnasty33",2024,"Feb","Sat",15,"48"
704,"jdogg999",2024-02-04,04:38:00,"N/A","Shock Brawler Oscar","Fortnite","FF Forest","N/A","Seb","Encampment Venture",2024,"Feb","Sun",4,"38"
705,"AJ-the-tailedfox",2024-02-04,13:32:00,"N/A","Lana Llane","Fortnite","Canny Valley","N/A","Seb","Retrieve the Data v-bucks",2024,"Feb","Sun",13,"32"
706,"KEVINJX",2024-02-04,14:48:00,"N/A","The Batman Who Laughs","Fortnite","Canny Valley","N/A","Seb","Retrieve the Data v-bucks ",2024,"Feb","Sun",14,"48"
707,"jdawgystyle1",2024-02-05,06:45:00,"N/A","Snuggle Specialist Sarah","Fortnite","FF City","N/A","Seb","Retrieve the Data Venture ",2024,"Feb","Mon",6,"45"
708,"ShinobiSSJ",2024-02-05,15:37:00,"N/A","Bomb King","Paladins","Hidden Temple","N/A","Vixx","Apparently previously sighted (Could not find previous entry)",2024,"Feb","Mon",15,"37"
709,"EHJ4Y",2024-02-05,17:20:00,"""uh""","N/A","Overwatch","Suravasa","Master Role Challenger","Richard","",2024,"Feb","Mon",17,"20"
710,"JGunner",2024-02-06,10:05:00,"N/A","Zarya, Ashe, Mercy, Wrecking Ball ","Overwatch","Samoa","N/A","Seb","MH Happy Squid icon Endorsement 3 Mumen Rider - Soldier: 76 namecard private profile",2024,"Feb","Tue",10,"05"
711,"Jayzekiel",2024-02-06,10:19:00,"N/A","Ana","Overwatch","Kanezaka","Tenacious Hero","Seb","Queue DM Royal Emblem icon Endorsement 5 Northern Dreams namecard silver 5 Combined Damage bronze 4 Support",2024,"Feb","Tue",10,"19"
712,"sukhrajb",2024-02-06,10:20:00,"N/A","N/A","Overwatch","Junkertown","Extraterrestrial","Seb","MH leaver Scar icon Endorsement 4 private profile",2024,"Feb","Tue",10,"20"
713,"KieraJJ",2024-02-06,10:29:00,"N/A","Mercy","Overwatch","Rialto","Magical Dragon","Seb","MH leaver Scion icon Endorsement 5 Mitzi and Friends namecard private profile",2024,"Feb","Tue",10,"29"
714,"JMCOD",2024-02-07,05:56:00,"N/A","N/A","Overwatch","Malevento ","Assassin","Seb","Queue DM Goldhardt icon Endorsement 3 Ramattra - Tier 1 namecard gold 2 Tank gold 1 Damage",2024,"Feb","Wed",5,"56"
715,"JVR",2024-02-07,07:46:00,"N/A","Ana","Overwatch","Route 66","Mortal","Seb","QP Oni icon Endorsement 2 private profile",2024,"Feb","Wed",7,"46"
716,"JaykeTheFox",2024-02-07,09:44:00,"N/A","Cassidy","Overwatch","Circuit Royal","Paladin","Seb","Nested Jay Queue Skirmish Puhyu icon Endorsement 5 Blessed Mother namecard private profile",2024,"Feb","Wed",9,"44"
717,"w ",2024-02-07,10:41:00,"N/A","Wrecking Ball","Overwatch","Dorado ","Treasure Goblin","Seb","Queue DM Archives 2021 icon Endorsement 4 Toronto namecard silver 5 Damage gold 3 Support",2024,"Feb","Wed",10,"41"
718,"CJruthy",2024-02-07,13:40:00,"N/A","Kiriko","Overwatch","New Queen Street","Bastet","Richard","Comp, 2nd sighting 2024-04-14 QP Colosseo, 3rd 2024-05-03 QP Dorado",2024,"Feb","Wed",13,"40"
719,"JS2",2024-02-08,10:07:00,"N/A","Sojourn","Overwatch","New Junk City","Disciple","Josiad","SPELLING UNCLEAR Archives 2018 icon Endorsement 1 Inextinguishable namecard Sojourn main",2024,"Feb","Thu",10,"07"
720,"IHJ",2024-02-08,10:47:00,"N/A","Zarya","Overwatch","Paraíso","N/A","Josiad","Back filled Jay Punchimari icon Endorsement 3 Ball main",2024,"Feb","Thu",10,"47"
721,"hjbb7",2024-02-09,13:08:00,"N/A","Rezzed Ying","Paladins","Bazaar","His Majesty","Vixx","",2024,"Feb","Fri",13,"08"
722,"lidj971",2024-02-09,15:22:00,"N/A","Cold-Blooded Makoa","Paladins","Timber Mill","World Ender","Vixx","",2024,"Feb","Fri",15,"22"
723,"Godlyjr",2024-02-09,15:57:00,"N/A","Lifeweaver","Overwatch","Samoa","Peasant","Seb","QP Archives 2019 icon Endorsement 4 Concert Clash namecard private profile",2024,"Feb","Fri",15,"57"
724,"raeraej211",2024-02-13,09:50:00,"""yo torb 2""","Torbjörn","Overwatch","Kanezaka","Medic","Seb","Queue DM Banshee icon Endorsement 5 Grand Remains namecard private profile, 2nd sighting 2024-03-31 Hollywood MH",2024,"Feb","Tue",9,"50"
725,"MANCORJ",2024-02-13,12:46:00,"N/A","N/A","Overwatch","Suravasa","N/A","Richard","SPELLING UNCLEAR D.Va Silhouette icon Endorsement 3 Mitzi and Friends namecard Sigma main",2024,"Feb","Tue",12,"46"
726,"QP 2nd sighting 2024-05-07 Numbani, 3rd — 09/30/2024",2024-02-13,13:17:00,"""gg""","N/A","Overwatch","Hollywood","Easy Prey","Richard","QP 2nd sighting 2024-05-07 Numbani",2024,"Feb","Tue",13,"17"
727,"JRobott",2024-02-15,06:37:00,"N/A","Lifeweaver","Overwatch","Workshop Chamber","N/A","Seb","1 Dad 11 Kids Custom Hypersphere icon Endorsement 3 private profile",2024,"Feb","Thu",6,"37"
728,"JAlligator",2024-02-15,10:39:00,"""jay"" ""gg""","Bastion","Overwatch","Hollywood","Deceiver","Seb","QP Puhyu icon Endorsement 4 Northern Dreams namecard private profile",2024,"Feb","Thu",10,"39"
729,"XKillerJay",2024-02-15,11:53:00,"N/A","Ash","Paladins","Hidden Temple","The Die-Hard","Vixx","",2024,"Feb","Thu",11,"53"
730,"DJSEAL456",2024-02-15,12:15:00,"N/A","Reaper","Overwatch","Paraíso","Grandmaster Role Challenger","Seb","Comp Zaryanoversary icon Mitzi and Friends namecard",2024,"Feb","Thu",12,"15"
731,"JayJaeger",2024-02-16,06:34:00,"N/A","Rammatra, Wrecking Ball","Overwatch","King's Row","N/A","Seb","QP Peanut Butter icon Endorsement 2 Great Waves namecard private profile",2024,"Feb","Fri",6,"34"
732,"Jceda2010",2024-02-16,07:14:00,"N/A","Rammatra","Overwatch","Watchpoint: Gibralter","Master of Minotaurs","Seb","QP backfill Kittymari icon Endorsement 3 ANTIFRAGILE Kira-Kira namecard private profile",2024,"Feb","Fri",7,"14"
733,"AGENTAJ",2024-02-16,15:53:00,"N/A","Baptiste","Overwatch","Antarctic Peninsula ","N/A","Richard","SPELLING UNCONFIRMED ",2024,"Feb","Fri",15,"53"
734,"KYPJTOMEGA",2024-02-17,10:10:00,"N/A","Ashe","Overwatch","Kanezaka","N/A","Seb","Queue DM The Doctor icon Endorsement 1 The Nebula namecard private profile",2024,"Feb","Sat",10,"10"
735,"J4SCG0D",2024-02-17,15:23:00,"N/A","Dragonslayer Furia","Paladins","Frozen Guard","The Angel of Vengeance","Vixx","",2024,"Feb","Sat",15,"23"
736,"nnej",2024-02-18,03:29:00,"N/A","Cassidy","Overwatch","Workshop Island","Demigod","Seb","Gun Game No CD Custom Cute Mercy icon Endorsement 4 Harbinger namecard private profile",2024,"Feb","Sun",3,"29"
737,"bluejey",2024-02-18,08:50:00,"""ur scarty scary"" ""omg im ur scary""","Moira","Overwatch","Midtown","Druid","Richard","Sighting 2 same day on Colosseo, Sighting 3 2024-02-25",2024,"Feb","Sun",8,"50"
738,"JYJ",2024-02-19,12:06:00,"N/A","Wrecking Ball","Overwatch","Oasis","Barbarian","Richard","SPELLING UNCONFIRMED",2024,"Feb","Mon",12,"06"
739,"jaybird",2024-02-19,14:14:00,"""gg""","Bastion","Overwatch","Oasis","Bias Wrecker","Richard","Comp",2024,"Feb","Mon",14,"14"
740,"jaycanvibe",2024-02-19,15:20:00,"""ggwp""","Cassidy","Overwatch","New Queen Street","N/A","Mac","Got POTG",2024,"Feb","Mon",15,"20"
741,"La_Leche_Jdeleon",2024-02-20,18:20:00,"N/A","Endless Ned","Fortnite","Canny Valley","N/A","Seb","Retrieve the Data V-bucks mission",2024,"Feb","Tue",18,"20"
742,"AM0URJ",2024-02-22,05:07:00,"""good morning sebbo""","Lifeweaver","Overwatch","Paris","Peasant","Seb","Chill/Kill Custom OWWC CHI icon Endorsement 3 Slime Caves namecard private profile",2024,"Feb","Thu",5,"07"
743,"Sjholy",2024-02-22,05:40:00,"N/A","Ashe","Overwatch","Workshop Island (Night)","Slicer","Seb","Gun Game No CD Custom Lilith's Visage icon Endorsement 3 Null Sector namecard private profile",2024,"Feb","Thu",5,"40"
744,"Jwyatt",2024-02-22,15:28:00,"""uhhhh Im black""","Cassidy","Overwatch","King's Row","Mortal","Richard","QP",2024,"Feb","Thu",15,"28"
745,"JSMOMMA",2024-02-24,20:08:00,"""AND I HAVE TISM. L"" ","Reinhardt","Overwatch","Busan","N/A","Richard","SPELLING UNCONFIRMED Comp",2024,"Feb","Sat",20,"08"
746,"Jmaster",2024-02-25,14:39:00,"""yes my alt"" ","Genji","Overwatch","Shambali Monastary","Neogun","Richard","Possible alt of jaymastermtd",2024,"Feb","Sun",14,"39"
747,"JMoney",2024-02-26,10:49:00,"N/A","Genji","Overwatch","Rialto","N/A","Seb","NOT Jmoney Rainbow icon Endorsement 4 Intersex-Exclusive Progress Pride namecard private profile",2024,"Feb","Mon",10,"49"
748,"MissAJ",2024-02-26,13:27:00,"N/A","N/A","Overwatch","Ilios","Easy Prey","Richard","QP spectator D.Va Silhouette icon Endorsement 5 Bisexual Pride namecard private profile",2024,"Feb","Mon",13,"27"
749,"BigcjDog",2024-02-27,04:14:00,"N/A","Junkrat","Overwatch","Hollywood","Behemoth","Seb","QP Pachiduri icon Endorsement 3 Cosmic Codex namecard gold 2 Damage gold 4 Support",2024,"Feb","Tue",4,"14"
750,"JFaets",2024-02-27,06:36:00,"N/A","Hanzo, Echo","Overwatch","Colosseo","Nomad","Seb","QP Dreidel icon Endorsement 4 Celestial namecard private profile, 2nd sighting 2024-03-03 Ilios",2024,"Feb","Tue",6,"36"
751,"DJAn",2024-02-27,06:49:00,"N/A","Genji","Overwatch","Esperança","N/A","Seb","Queue DM Overwatch Dark icon endorsement 2 private profile",2024,"Feb","Tue",6,"49"
752,"WingedBluJ",2024-02-27,07:26:00,"N/A","Zenyatta, Widowmaker, Sojourn","Overwatch","Suravasa","Crisis Survivor","Seb","MH Mauga Silhouette Endorsement 5 Mauga - Tier 2 namecard gold 2 Combined gold 3 Tank silver 4 Damage gold 2 Support",2024,"Feb","Tue",7,"26"
753,"jbeeney",2024-02-27,07:26:00,"N/A","Lúcio, Sigma, Mauga","Overwatch","Suravasa","Mercy's Angel","Seb","MH backfill same game as WingedBluJ For the Horde icon Endorsement 5 The Dead Hunger namecard private profile",2024,"Feb","Tue",7,"26"
754,"JMANGEDCUL",2024-02-27,09:38:00,"N/A","Lifeweaver","Overwatch","Junkertown","N/A","Seb","Comp",2024,"Feb","Tue",9,"38"
755,"JBear27",2024-02-27,15:59:00,"""fr tho""","Shredder","Fortnite","Plankerton","N/A","Seb","Evacuate the Shelter V-bucks mission",2024,"Feb","Tue",15,"59"
756,"bugjts",2024-02-28,07:31:00,"N/A","Genji","Overwatch","Paraíso","Harbinger","Seb","Genji Parkour custom Goldborg icon Endorsement 2 Genji - Tier 2 namecard platinum 5 Tank gold 1 Damage",2024,"Feb","Wed",7,"31"
757,"JVLasume",2024-02-28,17:46:00,"N/A","Hope","Fortnite","Canny Valley ","N/A","Seb","Repair the Shelter V-bucks mission",2024,"Feb","Wed",17,"46"
758,"SmugJC",2024-02-29,10:02:00,"N/A","Junker Queen","Overwatch","Route 66","Medic","Seb","Chill/Kill Custom Wedjat icon Endorsement 5 Llama Dreams namecard private profile",2024,"Feb","Thu",10,"02"
759,"PeachyJay513",2024-02-29,10:03:00,"N/A","Mauga","Overwatch","Petra","Harbinger","Seb","Queue DM Winter Wonderland 2022 icon Endorsement 5 Harbinger namecard private profile",2024,"Feb","Thu",10,"03"
760,"jrg7777",2024-02-29,13:35:00,"""?""","Moira","Overwatch","Nepal","Paladin","Richard","Comp",2024,"Feb","Thu",13,"35"
761,"JNX",2024-02-29,16:05:00,"""??""","Junker Queen","Overwatch","New Queen Street","Hero of the Light","Richard","Comp",2024,"Feb","Thu",16,"05"
762,"Jpran",2024-03-01,11:21:00,"N/A","Hemlock Willo","Paladins","Shattered Desert","Pride","Vixx","",2024,"Mar","Fri",11,"21"
763,"JJ22-250",2024-03-02,16:42:00,"""Gg""","DJ Yonder","Fortnite","Twine Peaks","N/A","Seb","Ride the Lightning V-bucks",2024,"Mar","Sat",16,"42"
764,"DANKJAY",2024-03-03,10:54:00,"N/A","N/A","Overwatch","Workshop Island","All-Star","Seb","Gun Game No CD Custom Divine Kunai icon Endorsement 3 Synthwave namecard plat 3 Damage Support",2024,"Mar","Sun",10,"54"
765,"JK7",2024-03-03,11:05:00,"N/A","Zarya","Overwatch","Workshop Island","N/A","Seb","Gun Game No CD Custom Overwatch Dark icon Endorsement 2 private profile",2024,"Mar","Sun",11,"05"
766,"JGM76",2024-03-03,16:59:00,"N/A","Ciri","Fortnite","Canny Valley","N/A","Seb","Repair the Shelter V-bucks",2024,"Mar","Sun",16,"59"
767,"JMart",2024-03-04,02:51:00,"N/A","Mauga, Doomfist","Overwatch","Workshop Chamber","Easy Prey","Seb","1 Dad 11 Kids Custom Halloween Terror 2016 icon Endorsement 5",2024,"Mar","Mon",2,"51"
768,"JT1",2024-03-04,02:51:00,"N/A","Mauga, Doomfist","Overwatch","Workshop Chamber","Grandmaster Role Challenger","Seb","1 Dad 11 Kids Custom Black Metal icon Endorsement 3 Ana - Tier 3 namecard plat 1 Tank diamond 5 Damage diamond 3 Support",2024,"Mar","Mon",2,"51"
769,"GrosJCPorc",2024-03-04,02:54:00,"N/A","Kiriko","Overwatch","Workshop Island (Night)","Noble","Seb","Gun Game no CD Custom Dragoon icon Endorsement 5 Mitzi and Friends namecard",2024,"Mar","Mon",2,"54"
770,"JxcqkDev",2024-03-06,09:47:00,"N/A","Hanzo","Overwatch","Ayutthaya","Haunted Shadow","Seb","Chill Kill Custom Sandstorm icon Endorsement 4 Heartbreaker namecard private profile",2024,"Mar","Wed",9,"47"
771,"ntannerj",2024-03-07,19:56:00,"N/A","Lúcio","Overwatch","King's Row","Archmage","Seb","QP Kiriko Silhouette icon Endorsement 5 Gay Pride namecard gold 3 Damage plat 4 Support",2024,"Mar","Thu",19,"56"
772,"GlitchJH",2024-03-07,05:16:00,"""gg""","Pharah","Overwatch","Hollywood","Rebel","Seb","QP Auxton icon Endorsement 3 Black Metal namecard plat 1 Tank plat 2 Damage diamond 4 support",2024,"Mar","Thu",5,"16"
773,"boomernjj",2024-03-07,09:02:00,"N/A","Reinhardt","Overwatch","Dorado ","Disciple","Seb","Queue DM Galactic icon Endorsement 4 gold 4 Tank silver 4 Damage silver 1 Support",2024,"Mar","Thu",9,"02"
774,"JFire",2024-03-08,15:31:00,"N/A","Winston","Overwatch","Suravasa","N/A","Mac","Plat",2024,"Mar","Fri",15,"31"
775,"AJB0mber k1d123",2024-03-10,06:39:00,"N/A","Furia","Paladins","Trade District","Runs the Show","Vixx","King of the Hill",2024,"Mar","Sun",6,"39"
776,"JSMOOTH",2024-03-10,15:45:00,"""wtf""","Echo","Overwatch","Esperança","N/A","Mac","SPELLING UNCONFIRMED QP, respotted 20241102 busan",2024,"Mar","Sun",15,"45"
